metric,value
precision@1,0.24862195682131374
recall@1,0.13313019376122268
precision@3,0.18549992344204563
recall@3,0.2859352308106327
precision@5,0.15411116214974735
recall@5,0.39365862758432807
precision@10,0.07705558107487367
recall@10,0.39365862758432807
AUC,0.6917792448909997
