metric,value
precision@1,0.1690399632521819
recall@1,0.08721460619715098
precision@3,0.12957433777369468
recall@3,0.19745794449515167
precision@5,0.10872760679834634
recall@5,0.27310095674243584
precision@10,0.08163757464400552
recall@10,0.4097320405313056
AUC,0.7000964548450482
